Processor,,AMD Ryzen 9 7900X3D 12-Core @ 5.66GHz (12 Cores / 24 Threads),AMD Ryzen 9 7950X3D 16-Core @ 5.76GHz (16 Cores / 32 Threads),AMD Ryzen 9 7950X 16-Core @ 5.88GHz (16 Cores / 32 Threads),AMD Ryzen 7 8700G @ 5.18GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900 12-Core @ 5.48GHz (12 Cores / 24 Threads),AMD Ryzen 5 7600X 6-Core @ 5.45GHz (6 Cores / 12 Threads),AMD Ryzen 7 7700X 8-Core @ 5.57GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900X 12-Core @ 5.73GHz (12 Cores / 24 Threads),AMD Ryzen 5 8600G @ 5.07GHz (6 Cores / 12 Threads),AMD Ryzen 7 7800X3D 8-Core @ 5.05GHz (8 Cores / 16 Threads),AMD Ryzen 7 7700 8-Core @ 5.39GHz (8 Cores / 16 Threads)
Stargate Digital Audio Workstation - Sample Rate: 96000 - Buffer Size: 1024 (Render Ratio),HIB,3.856836,5.35981,5.676854,2.815243,3.795008,2.327445,3.331901,4.218647,1.954427,3.073909,3.179738
Stargate Digital Audio Workstation - Sample Rate: 192000 - Buffer Size: 512 (Render Ratio),HIB,2.387596,3.167167,3.436507,1.805628,2.425384,1.510668,2.114046,2.605196,1.281092,1.957493,2.028715
Stargate Digital Audio Workstation - Sample Rate: 192000 - Buffer Size: 1024 (Render Ratio),HIB,2.571578,3.570897,3.750771,1.905336,2.544878,1.564354,2.210665,2.810312,1.324487,2.050928,2.124219
Blender - Blend File: BMW27 - Compute: CPU-Only (sec),LIB,70.7,52.76,50.16,113.32,79.97,131.15,98.99,66.78,146.9,106.19,106.13
Blender - Blend File: Fishy Cat - Compute: CPU-Only (sec),LIB,87.78,65.84,62.55,141.16,100.47,161.51,123.02,83.46,182.76,130.13,132.29
Blender - Blend File: Pabellon Barcelona - Compute: CPU-Only (sec),LIB,217.74,163.27,154.62,357.53,249.38,402.4,305.85,206.18,456.24,327.61,329.03
Blender - Blend File: Junkshop - Compute: CPU-Only (sec),LIB,92.17,69.52,68.07,147.79,103.26,174.82,132.73,90.03,191.01,135.61,
C-Ray - Resolution: 1080p - Rays Per Pixel: 16 (sec),LIB,38.947,29.292,27.177,59.29,42.911,70.662,53.55,36.319,76.821,60.998,
C-Ray - Resolution: 4K - Rays Per Pixel: 16 (sec),LIB,155.325,116.845,108.401,236.989,171.475,281.801,213.957,145.21,307.078,244.115,
LuxCoreRender - Scene: DLSC - Acceleration: CPU (M samples/sec),HIB,3.81,5.04,5.25,2.5,3.43,2.15,2.81,3.99,1.97,2.62,
LuxCoreRender - Scene: Rainbow Colors and Prism - Acceleration: CPU (M samples/sec),HIB,13.62,17.31,18,10.9,12.84,9.19,12.05,14.22,8.39,11.07,
LuxCoreRender - Scene: LuxCore Benchmark - Acceleration: CPU (M samples/sec),HIB,3.49,4.73,4.97,2.12,3.09,1.79,2.48,3.66,1.56,2.29,
LuxCoreRender - Scene: Orange Juice - Acceleration: CPU (M samples/sec),HIB,6.03,7.84,8.22,4.04,5.48,3.48,4.55,6.31,3.17,4.27,
LuxCoreRender - Scene: Danish Mood - Acceleration: CPU (M samples/sec),HIB,3.14,4.39,4.54,1.86,2.76,1.57,2.18,3.23,1.34,2.1,
Appleseed - Scene: Emily (sec),LIB,184.436674,146.213654,140.702498,284.533801,201.896476,322.985241,249.110991,177.517902,360.959862,261.122628,
Appleseed - Scene: Disney Material (sec),LIB,109.546842,82.889838,77.842916,167.028979,121.280764,199.041432,149.960165,103.759233,216.78684,161.710192,
Appleseed - Scene: Material Tester (sec),LIB,118.943054,96.303645,92.692518,155.392722,127.354402,181.488747,138.399932,113.607181,201.270767,149.281592,
Chaos Group V-RAY - Mode: CPU (vsamples),HIB,34457,45991,46952,21412,30846,18385,24026,35560,16482,23385,
IndigoBench - Acceleration: CPU - Scene: Supercar (M samples/s),HIB,8.872,11.78,12.141,5.352,7.834,4.657,6.121,9.105,4.183,5.938,
IndigoBench - Acceleration: CPU - Scene: Bedroom (M samples/s),HIB,4.035,5.378,5.511,2.495,3.572,2.151,2.822,4.143,1.925,2.734,
OSPRay - Benchmark: gravity_spheres_volume/dim_512/ao/real_time (Items/sec),HIB,5.7457,7.62561,7.98571,3.45053,5.38667,3.13276,4.06389,5.97036,2.66295,3.86165,
OSPRay - Benchmark: gravity_spheres_volume/dim_512/scivis/real_time (Items/sec),HIB,5.63677,7.50091,7.81982,3.41264,5.28203,3.08064,4.02336,5.90034,2.6165,3.79089,
OSPRay - Benchmark: gravity_spheres_volume/dim_512/pathtracer/real_time (Items/sec),HIB,6.70602,8.95734,9.47287,4.29756,6.25893,3.66252,4.81982,7.10522,3.27644,4.47838,
OSPRay - Benchmark: particle_volume/ao/real_time (Items/sec),HIB,6.59923,8.71012,9.20514,4.23869,6.17855,3.60094,4.80252,6.91942,3.19527,4.36132,
OSPRay - Benchmark: particle_volume/scivis/real_time (Items/sec),HIB,6.54819,8.69155,9.18932,4.2321,6.12512,3.5887,4.78285,6.91813,3.18583,4.35833,
OSPRay - Benchmark: particle_volume/pathtracer/real_time (Items/sec),HIB,184.855,206.803,217.693,138.384,189.049,141.841,164.902,197.851,119.22,150.178,
OSPRay Studio - Camera: 1 - Resolution: 1080p - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,1438,1054,1003,2324,1555,2733,2039,1349,3059,2142,
OSPRay Studio - Camera: 1 - Resolution: 1080p - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,22859,16994,16022,40638,24825,46770,36235,21568,52581,37991,
OSPRay Studio - Camera: 1 - Resolution: 4K - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,5655,4187,3982,9233,6180,10816,8086,5370,12132,8461,
OSPRay Studio - Camera: 1 - Resolution: 4K - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,93849,70438,67572,151739,102470,176486,132423,89596,198036,139322,
OSPRay Studio - Camera: 2 - Resolution: 1080p - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,1453,1081,1015,2348,1567,2762,2060,1369,3091,2146,
OSPRay Studio - Camera: 2 - Resolution: 1080p - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,23110,17018,16227,41386,25038,47596,36562,21837,53433,38229,
OSPRay Studio - Camera: 2 - Resolution: 4K - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,5751,4237,4038,9329,6223,10945,8192,5431,12291,8541,
OSPRay Studio - Camera: 2 - Resolution: 4K - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,95409,72562,68317,153440,102954,178446,134389,90286,200724,140417,
OSPRay Studio - Camera: 3 - Resolution: 1080p - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,1688,1256,1185,2757,1832,3224,2412,1598,3629,2512,
OSPRay Studio - Camera: 3 - Resolution: 1080p - Samples Per Pixel: 16 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,30883,20048,18989,47927,32875,54872,42288,25553,61978,44128,
OSPRay Studio - Camera: 3 - Resolution: 4K - Samples Per Pixel: 1 - Renderer: Path Tracer - Acceleration: CPU (ms),LIB,6703,4981,4718,10949,7296,12784,9570,6332,14434,9958,
